rate_date,base_currency,quote_currency,fx_to_usd,,,
2025-10-01,USD,USD,1,,,
2025-10-01,USD,EUR,1;09,,,
2025-10-01,USD,NOK,0;095,,,
2025-10-01,USD,SGD,0;74,,,
2025-10-01,USD,AED,0;272,,,
2025-10-01,USD,GBP,1;27,,,
2025-10-01,USD,CNY,0;14,,,
2025-10-01,USD,MYR,0;21,,,
2025-10-02,USD,USD,1,,,
2025-10-02,USD,EUR,1;09,,,
2025-10-02,USD,NOK,0;0951,,,
2025-10-02,USD,SGD,0;7405,,,
2025-10-02,USD,AED,0;2719,,,
2025-10-02,USD,GBP,1;271,,,
2025-10-02,USD,CNY,0;14,,,
2025-10-02,USD,MYR,0;2099,,,
2025-10-03,USD,USD,1,,,
2025-10-03,USD,EUR,1;0901,,,
2025-10-03,USD,NOK,0;095,,,
2025-10-03,USD,SGD,0;7401,,,
2025-10-03,USD,AED,0;272,,,
2025-10-03,USD,GBP,1;2701,,,
2025-10-03,USD,CNY,0;14,,,
2025-10-03,USD,MYR,0;21,,,
2025-10-04,USD,USD,1,,,
2025-10-04,USD,EUR,1;0903,,,
2025-10-04,USD,NOK,0;0951,,,
2025-10-04,USD,SGD,0;7402,,,
2025-10-04,USD,AED,0;2718,,,
2025-10-04,USD,GBP,1;27,,,
2025-10-04,USD,CNY,0;1401,,,
2025-10-04,USD,MYR,0;2099,,,
2025-10-05,USD,USD,1,,,
2025-10-05,USD,EUR,1;0907,,,
2025-10-05,USD,NOK,0;095,,,
2025-10-05,USD,SGD,0;741,,,
2025-10-05,USD,AED,0;2719,,,
2025-10-05,USD,GBP,1;2706,,,
2025-10-05,USD,CNY,0;1402,,,
2025-10-05,USD,MYR,0;2101,,,
2025-10-06,USD,USD,1,,,
2025-10-06,USD,EUR,1;0911,,,
2025-10-06,USD,NOK,0;095,,,
2025-10-06,USD,SGD,0;7407,,,
2025-10-06,USD,AED,0;2716,,,
2025-10-06,USD,GBP,1;2694,,,
2025-10-06,USD,CNY,0;1401,,,
2025-10-06,USD,MYR,0;21,,,
2025-10-07,USD,USD,1,,,
2025-10-07,USD,EUR,1;0916,,,
2025-10-07,USD,NOK,0;095,,,
2025-10-07,USD,SGD,0;7411,,,
2025-10-07,USD,AED,0;2716,,,
2025-10-07,USD,GBP,1;2689,,,
2025-10-07,USD,CNY,0;14,,,
2025-10-07,USD,MYR,0;2102,,,
2025-10-08,USD,USD,1,,,
2025-10-08,USD,EUR,1;0923,,,
2025-10-08,USD,NOK,0;095,,,
2025-10-08,USD,SGD,0;7405,,,
2025-10-08,USD,AED,0;2718,,,
2025-10-08,USD,GBP,1;2691,,,
2025-10-08,USD,CNY,0;1399,,,
2025-10-08,USD,MYR,0;2101,,,
2025-10-09,USD,USD,1,,,
2025-10-09,USD,EUR,1;0931,,,
2025-10-09,USD,NOK,0;0949,,,
2025-10-09,USD,SGD,0;7405,,,
2025-10-09,USD,AED,0;2717,,,
2025-10-09,USD,GBP,1;2701,,,
2025-10-09,USD,CNY,0;1399,,,
2025-10-09,USD,MYR,0;2103,,,
2025-10-10,USD,USD,1,,,
2025-10-10,USD,EUR,1;0939,,,
2025-10-10,USD,NOK,0;0949,,,
2025-10-10,USD,SGD,0;7411,,,
2025-10-10,USD,AED,0;2718,,,
2025-10-10,USD,GBP,1;2692,,,
2025-10-10,USD,CNY,0;1399,,,
2025-10-10,USD,MYR,0;2103,,,
2025-10-11,USD,USD,1,,,
2025-10-11,USD,EUR,1;0949,,,
2025-10-11,USD,NOK,0;0949,,,
2025-10-11,USD,SGD,0;7407,,,
2025-10-11,USD,AED,0;2716,,,
2025-10-11,USD,GBP,1;2691,,,
2025-10-11,USD,CNY,0;14,,,
2025-10-11,USD,MYR,0;2105,,,
2025-10-12,USD,USD,1,,,
2025-10-12,USD,EUR,1;096,,,
2025-10-12,USD,NOK,0;0949,,,
2025-10-12,USD,SGD,0;741,,,
2025-10-12,USD,AED,0;2717,,,
2025-10-12,USD,GBP,1;2697,,,
2025-10-12,USD,CNY,0;1401,,,
2025-10-12,USD,MYR,0;2105,,,
2025-10-13,USD,USD,1,,,
2025-10-13,USD,EUR,1;0949,,,
2025-10-13,USD,NOK,0;0948,,,
2025-10-13,USD,SGD,0;7402,,,
2025-10-13,USD,AED,0;2714,,,
2025-10-13,USD,GBP,1;2685,,,
2025-10-13,USD,CNY,0;14,,,
2025-10-13,USD,MYR,0;2103,,,
2025-10-14,USD,USD,1,,,
2025-10-14,USD,EUR,1;0939,,,
2025-10-14,USD,NOK,0;0948,,,
2025-10-14,USD,SGD,0;7401,,,
2025-10-14,USD,AED,0;2714,,,
2025-10-14,USD,GBP,1;268,,,
2025-10-14,USD,CNY,0;1399,,,
2025-10-14,USD,MYR,0;2103,,,
2025-10-15,USD,USD,1,,,
2025-10-15,USD,EUR,1;0931,,,
2025-10-15,USD,NOK,0;0949,,,
2025-10-15,USD,SGD,0;7405,,,
2025-10-15,USD,AED,0;2716,,,
2025-10-15,USD,GBP,1;2682,,,
2025-10-15,USD,CNY,0;1398,,,
2025-10-15,USD,MYR,0;2101,,,
2025-10-16,USD,USD,1,,,
2025-10-16,USD,EUR,1;0923,,,
2025-10-16,USD,NOK,0;0949,,,
2025-10-16,USD,SGD,0;74,,,
2025-10-16,USD,AED,0;2715,,,
2025-10-16,USD,GBP,1;2692,,,
2025-10-16,USD,CNY,0;1398,,,
2025-10-16,USD,MYR,0;2102,,,
2025-10-17,USD,USD,1,,,
2025-10-17,USD,EUR,1;0916,,,
2025-10-17,USD,NOK,0;0949,,,
2025-10-17,USD,SGD,0;7401,,,
2025-10-17,USD,AED,0;2716,,,
2025-10-17,USD,GBP,1;2683,,,
2025-10-17,USD,CNY,0;1398,,,
2025-10-17,USD,MYR,0;21,,,
2025-10-18,USD,USD,1,,,
2025-10-18,USD,EUR,1;0911,,,
2025-10-18,USD,NOK,0;0949,,,
2025-10-18,USD,SGD,0;7407,,,
2025-10-18,USD,AED,0;2715,,,
2025-10-18,USD,GBP,1;2682,,,
2025-10-18,USD,CNY,0;1399,,,
2025-10-18,USD,MYR,0;2101,,,
2025-10-19,USD,USD,1,,,
2025-10-19,USD,EUR,1;0907,,,
2025-10-19,USD,NOK,0;095,,,
2025-10-19,USD,SGD,0;7404,,,
2025-10-19,USD,AED,0;2715,,,
2025-10-19,USD,GBP,1;2689,,,
2025-10-19,USD,CNY,0;14,,,
2025-10-19,USD,MYR,0;2099,,,
2025-10-20,USD,USD,1,,,
2025-10-20,USD,EUR,1;0903,,,
2025-10-20,USD,NOK,0;095,,,
2025-10-20,USD,SGD,0;7407,,,
2025-10-20,USD,AED,0;2712,,,
2025-10-20,USD,GBP,1;2676,,,
2025-10-20,USD,CNY,0;1399,,,
2025-10-20,USD,MYR,0;21,,,
2025-10-21,USD,USD,1,,,
2025-10-21,USD,EUR,1;0901,,,
2025-10-21,USD,NOK,0;095,,,
2025-10-21,USD,SGD,0;7401,,,
2025-10-21,USD,AED,0;2712,,,
2025-10-21,USD,GBP,1;2671,,,
2025-10-21,USD,CNY,0;1398,,,
2025-10-21,USD,MYR,0;2099,,,
2025-10-22,USD,USD,1,,,
2025-10-22,USD,EUR,1;09,,,
2025-10-22,USD,NOK,0;095,,,
2025-10-22,USD,SGD,0;74,,,
2025-10-22,USD,AED,0;2714,,,
2025-10-22,USD,GBP,1;2673,,,
2025-10-22,USD,CNY,0;1397,,,
2025-10-22,USD,MYR,0;21,,,
2025-10-23,USD,USD,1,,,
2025-10-23,USD,EUR,1;09,,,
2025-10-23,USD,NOK,0;0951,,,
2025-10-23,USD,SGD,0;7405,,,
2025-10-23,USD,AED,0;2713,,,
2025-10-23,USD,GBP,1;2683,,,
2025-10-23,USD,CNY,0;1397,,,
2025-10-23,USD,MYR,0;2099,,,
2025-10-24,USD,USD,1,,,
2025-10-24,USD,EUR,1;0901,,,
2025-10-24,USD,NOK,0;095,,,
2025-10-24,USD,SGD,0;7401,,,
2025-10-24,USD,AED,0;2715,,,
2025-10-24,USD,GBP,1;2675,,,
2025-10-24,USD,CNY,0;1397,,,
2025-10-24,USD,MYR,0;21,,,
2025-10-25,USD,USD,1,,,
2025-10-25,USD,EUR,1;0903,,,
2025-10-25,USD,NOK,0;0951,,,
2025-10-25,USD,SGD,0;7402,,,
2025-10-25,USD,AED,0;2713,,,
2025-10-25,USD,GBP,1;2673,,,
2025-10-25,USD,CNY,0;1398,,,
2025-10-25,USD,MYR,0;2099,,,
2025-10-26,USD,USD,1,,,
2025-10-26,USD,EUR,1;0906,,,
2025-10-26,USD,NOK,0;095,,,
2025-10-26,USD,SGD,0;741,,,
2025-10-26,USD,AED,0;2713,,,
2025-10-26,USD,GBP,1;268,,,
2025-10-26,USD,CNY,0;1399,,,
2025-10-26,USD,MYR,0;2101,,,
2025-10-27,USD,USD,1,,,
2025-10-27,USD,EUR,1;0911,,,
2025-10-27,USD,NOK,0;095,,,
2025-10-27,USD,SGD,0;7407,,,
2025-10-27,USD,AED,0;271,,,
2025-10-27,USD,GBP,1;2667,,,
2025-10-27,USD,CNY,0;1398,,,
2025-10-27,USD,MYR,0;21,,,
2025-10-28,USD,USD,1,,,
2025-10-28,USD,EUR,1;0916,,,
2025-10-28,USD,NOK,0;095,,,
2025-10-28,USD,SGD,0;7411,,,
2025-10-28,USD,AED,0;271,,,
2025-10-28,USD,GBP,1;2662,,,
2025-10-28,USD,CNY,0;1397,,,
2025-10-28,USD,MYR,0;2102,,,
2025-10-29,USD,USD,1,,,
2025-10-29,USD,EUR,1;0923,,,
2025-10-29,USD,NOK,0;095,,,
2025-10-29,USD,SGD,0;7405,,,
2025-10-29,USD,AED,0;2712,,,
2025-10-29,USD,GBP,1;2664,,,
2025-10-29,USD,CNY,0;1396,,,
2025-10-29,USD,MYR,0;2101,,,
2025-10-30,USD,USD,1,,,
2025-10-30,USD,EUR,1;0931,,,
2025-10-30,USD,NOK,0;0949,,,
2025-10-30,USD,SGD,0;7405,,,
2025-10-30,USD,AED,0;2711,,,
2025-10-30,USD,GBP,1;2675,,,
2025-10-30,USD,CNY,0;1396,,,
2025-10-30,USD,MYR,0;2103,,,
2025-10-31,USD,USD,1,,,
2025-10-31,USD,EUR,1;0939,,,
2025-10-31,USD,NOK,0;0949,,,
2025-10-31,USD,SGD,0;7411,,,
2025-10-31,USD,AED,0;2713,,,
2025-10-31,USD,GBP,1;2666,,,
2025-10-31,USD,CNY,0;1396,,,
2025-10-31,USD,MYR,0;2103,,,
2025-11-01,USD,USD,1,,,
2025-11-01,USD,EUR,1;0949,,,
2025-11-01,USD,NOK,0;0949,,,
2025-11-01,USD,SGD,0;7407,,,
2025-11-01,USD,AED,0;2711,,,
2025-11-01,USD,GBP,1;2664,,,
2025-11-01,USD,CNY,0;1397,,,
2025-11-01,USD,MYR,0;2105,,,
2025-11-02,USD,USD,1,,,
2025-11-02,USD,EUR,1;096,,,
2025-11-02,USD,NOK,0;0949,,,
2025-11-02,USD,SGD,0;741,,,
2025-11-02,USD,AED,0;2711,,,
2025-11-02,USD,GBP,1;2671,,,
2025-11-02,USD,CNY,0;1398,,,
2025-11-02,USD,MYR,0;2105,,,
2025-11-03,USD,USD,1,,,
2025-11-03,USD,EUR,1;0949,,,
2025-11-03,USD,NOK,0;0948,,,
2025-11-03,USD,SGD,0;7402,,,
2025-11-03,USD,AED,0;2709,,,
2025-11-03,USD,GBP,1;2658,,,
2025-11-03,USD,CNY,0;1397,,,
2025-11-03,USD,MYR,0;2103,,,
2025-11-04,USD,USD,1,,,
2025-11-04,USD,EUR,1;0939,,,
2025-11-04,USD,NOK,0;0948,,,
2025-11-04,USD,SGD,0;7401,,,
2025-11-04,USD,AED,0;2708,,,
2025-11-04,USD,GBP,1;2653,,,
2025-11-04,USD,CNY,0;1396,,,
2025-11-04,USD,MYR,0;2103,,,
2025-11-05,USD,USD,1,,,
2025-11-05,USD,EUR,1;093,,,
2025-11-05,USD,NOK,0;0949,,,
2025-11-05,USD,SGD,0;7405,,,
2025-11-05,USD,AED,0;271,,,
2025-11-05,USD,GBP,1;2656,,,
2025-11-05,USD,CNY,0;1395,,,
2025-11-05,USD,MYR,0;2101,,,
2025-11-06,USD,USD,1,,,
2025-11-06,USD,EUR,1;0923,,,
2025-11-06,USD,NOK,0;0949,,,
2025-11-06,USD,SGD,0;74,,,
2025-11-06,USD,AED,0;2709,,,
2025-11-06,USD,GBP,1;2666,,,
2025-11-06,USD,CNY,0;1395,,,
2025-11-06,USD,MYR,0;2102,,,
2025-11-07,USD,USD,1,,,
2025-11-07,USD,EUR,1;0916,,,
2025-11-07,USD,NOK,0;0949,,,
2025-11-07,USD,SGD,0;7401,,,
2025-11-07,USD,AED,0;2711,,,
2025-11-07,USD,GBP,1;2657,,,
2025-11-07,USD,CNY,0;1395,,,
2025-11-07,USD,MYR,0;21,,,
2025-11-08,USD,USD,1,,,
2025-11-08,USD,EUR,1;0911,,,
2025-11-08,USD,NOK,0;0949,,,
2025-11-08,USD,SGD,0;7407,,,
2025-11-08,USD,AED,0;2709,,,
2025-11-08,USD,GBP,1;2656,,,
2025-11-08,USD,CNY,0;1396,,,
2025-11-08,USD,MYR,0;2101,,,
2025-11-09,USD,USD,1,,,
2025-11-09,USD,EUR,1;0906,,,
2025-11-09,USD,NOK,0;095,,,
2025-11-09,USD,SGD,0;7404,,,
2025-11-09,USD,AED,0;2709,,,
2025-11-09,USD,GBP,1;2662,,,
2025-11-09,USD,CNY,0;1397,,,
2025-11-09,USD,MYR,0;2099,,,
2025-11-10,USD,USD,1,,,
2025-11-10,USD,EUR,1;0903,,,
2025-11-10,USD,NOK,0;095,,,
2025-11-10,USD,SGD,0;7407,,,
2025-11-10,USD,AED,0;2707,,,
2025-11-10,USD,GBP,1;2649,,,
2025-11-10,USD,CNY,0;1396,,,
2025-11-10,USD,MYR,0;21,,,
2025-11-11,USD,USD,1,,,
2025-11-11,USD,EUR,1;0901,,,
2025-11-11,USD,NOK,0;095,,,
2025-11-11,USD,SGD,0;7401,,,
2025-11-11,USD,AED,0;2706,,,
2025-11-11,USD,GBP,1;2644,,,
2025-11-11,USD,CNY,0;1395,,,
2025-11-11,USD,MYR,0;2099,,,
2025-11-12,USD,USD,1,,,
2025-11-12,USD,EUR,1;09,,,
2025-11-12,USD,NOK,0;095,,,
2025-11-12,USD,SGD,0;74,,,
2025-11-12,USD,AED,0;2709,,,
2025-11-12,USD,GBP,1;2647,,,
2025-11-12,USD,CNY,0;1394,,,
2025-11-12,USD,MYR,0;21,,,
2025-11-13,USD,USD,1,,,
2025-11-13,USD,EUR,1;09,,,
2025-11-13,USD,NOK,0;0951,,,
2025-11-13,USD,SGD,0;7405,,,
2025-11-13,USD,AED,0;2707,,,
2025-11-13,USD,GBP,1;2657,,,
2025-11-13,USD,CNY,0;1394,,,
2025-11-13,USD,MYR,0;2099,,,
2025-11-14,USD,USD,1,,,
2025-11-14,USD,EUR,1;0901,,,
2025-11-14,USD,NOK,0;095,,,
2025-11-14,USD,SGD,0;7401,,,
2025-11-14,USD,AED,0;2709,,,
2025-11-14,USD,GBP,1;2648,,,
2025-11-14,USD,CNY,0;1394,,,
2025-11-14,USD,MYR,0;21,,,
2025-11-15,USD,USD,1,,,
2025-11-15,USD,EUR,1;0903,,,
2025-11-15,USD,NOK,0;0951,,,
2025-11-15,USD,SGD,0;7402,,,
2025-11-15,USD,AED,0;2707,,,
2025-11-15,USD,GBP,1;2647,,,
2025-11-15,USD,CNY,0;1395,,,
