rate_date,base_currency,quote_currency,fx_to_usd,,,
2025-11-15,USD,MYR,0;2099,,,
2025-11-16,USD,USD,1,,,
2025-11-16,USD,EUR,1;0906,,,
2025-11-16,USD,NOK,0;095,,,
2025-11-16,USD,SGD,0;741,,,
2025-11-16,USD,AED,0;2707,,,
2025-11-16,USD,GBP,1;2653,,,
2025-11-16,USD,CNY,0;1396,,,
2025-11-16,USD,MYR,0;2101,,,
2025-11-17,USD,USD,1,,,
2025-11-17,USD,EUR,1;0911,,,
2025-11-17,USD,NOK,0;095,,,
2025-11-17,USD,SGD,0;7407,,,
2025-11-17,USD,AED,0;2705,,,
2025-11-17,USD,GBP,1;264,,,
2025-11-17,USD,CNY,0;1395,,,
2025-11-17,USD,MYR,0;21,,,
2025-11-18,USD,USD,1,,,
2025-11-18,USD,EUR,1;0916,,,
2025-11-18,USD,NOK,0;095,,,
2025-11-18,USD,SGD,0;7411,,,
2025-11-18,USD,AED,0;2705,,,
2025-11-18,USD,GBP,1;2635,,,
2025-11-18,USD,CNY,0;1394,,,
2025-11-18,USD,MYR,0;2102,,,
2025-11-19,USD,USD,1,,,
2025-11-19,USD,EUR,1;0923,,,
2025-11-19,USD,NOK,0;095,,,
2025-11-19,USD,SGD,0;7405,,,
2025-11-19,USD,AED,0;2707,,,
2025-11-19,USD,GBP,1;2638,,,
2025-11-19,USD,CNY,0;1393,,,
2025-11-19,USD,MYR,0;2101,,,
2025-11-20,USD,USD,1,,,
2025-11-20,USD,EUR,1;093,,,
2025-11-20,USD,NOK,0;0949,,,
2025-11-20,USD,SGD,0;7405,,,
2025-11-20,USD,AED,0;2706,,,
2025-11-20,USD,GBP,1;2648,,,
2025-11-20,USD,CNY,0;1393,,,
2025-11-20,USD,MYR,0;2103,,,
2025-11-21,USD,USD,1,,,
2025-11-21,USD,EUR,1;0939,,,
2025-11-21,USD,NOK,0;0949,,,
2025-11-21,USD,SGD,0;7411,,,
2025-11-21,USD,AED,0;2707,,,
2025-11-21,USD,GBP,1;2639,,,
2025-11-21,USD,CNY,0;1393,,,
2025-11-21,USD,MYR,0;2103,,,
2025-11-22,USD,USD,1,,,
2025-11-22,USD,EUR,1;0949,,,
2025-11-22,USD,NOK,0;0949,,,
2025-11-22,USD,SGD,0;7407,,,
2025-11-22,USD,AED,0;2705,,,
2025-11-22,USD,GBP,1;2638,,,
2025-11-22,USD,CNY,0;1394,,,
2025-11-22,USD,MYR,0;2105,,,
2025-11-23,USD,USD,1,,,
2025-11-23,USD,EUR,1;096,,,
2025-11-23,USD,NOK,0;0949,,,
2025-11-23,USD,SGD,0;741,,,
2025-11-23,USD,AED,0;2706,,,
2025-11-23,USD,GBP,1;2644,,,
2025-11-23,USD,CNY,0;1395,,,
2025-11-23,USD,MYR,0;2105,,,
2025-11-24,USD,USD,1,,,
2025-11-24,USD,EUR,1;0949,,,
2025-11-24,USD,NOK,0;0948,,,
2025-11-24,USD,SGD,0;7402,,,
2025-11-24,USD,AED,0;2703,,,
2025-11-24,USD,GBP,1;2631,,,
2025-11-24,USD,CNY,0;1394,,,
2025-11-24,USD,MYR,0;2103,,,
2025-11-25,USD,USD,1,,,
2025-11-25,USD,EUR,1;0939,,,
2025-11-25,USD,NOK,0;0948,,,
2025-11-25,USD,SGD,0;7401,,,
2025-11-25,USD,AED,0;2703,,,
2025-11-25,USD,GBP,1;2626,,,
2025-11-25,USD,CNY,0;1393,,,
2025-11-25,USD,MYR,0;2103,,,
2025-11-26,USD,USD,1,,,
2025-11-26,USD,EUR,1;093,,,
2025-11-26,USD,NOK,0;0949,,,
2025-11-26,USD,SGD,0;7405,,,
2025-11-26,USD,AED,0;2705,,,
2025-11-26,USD,GBP,1;2629,,,
2025-11-26,USD,CNY,0;1392,,,
2025-11-26,USD,MYR,0;2101,,,
2025-11-27,USD,USD,1,,,
2025-11-27,USD,EUR,1;0923,,,
2025-11-27,USD,NOK,0;0949,,,
2025-11-27,USD,SGD,0;74,,,
2025-11-27,USD,AED,0;2704,,,
2025-11-27,USD,GBP,1;2639,,,
2025-11-27,USD,CNY,0;1392,,,
2025-11-27,USD,MYR,0;2102,,,
2025-11-28,USD,USD,1,,,
2025-11-28,USD,EUR,1;0916,,,
2025-11-28,USD,NOK,0;0949,,,
2025-11-28,USD,SGD,0;7401,,,
2025-11-28,USD,AED,0;2705,,,
2025-11-28,USD,GBP,1;263,,,
2025-11-28,USD,CNY,0;1392,,,
2025-11-28,USD,MYR,0;21,,,
2025-11-29,USD,USD,1,,,
2025-11-29,USD,EUR,1;0911,,,
2025-11-29,USD,NOK,0;0949,,,
2025-11-29,USD,SGD,0;7407,,,
2025-11-29,USD,AED,0;2703,,,
2025-11-29,USD,GBP,1;2629,,,
2025-11-29,USD,CNY,0;1393,,,
2025-11-29,USD,MYR,0;2101,,,
2025-11-30,USD,USD,1,,,
2025-11-30,USD,EUR,1;0906,,,
2025-11-30,USD,NOK,0;095,,,
2025-11-30,USD,SGD,0;7404,,,
2025-11-30,USD,AED,0;2704,,,
2025-11-30,USD,GBP,1;2635,,,
2025-11-30,USD,CNY,0;1394,,,
2025-11-30,USD,MYR,0;2099,,,
2025-12-01,USD,USD,1,,,
2025-12-01,USD,EUR,1;0903,,,
2025-12-01,USD,NOK,0;095,,,
2025-12-01,USD,SGD,0;7407,,,
2025-12-01,USD,AED,0;2701,,,
2025-12-01,USD,GBP,1;2623,,,
2025-12-01,USD,CNY,0;1393,,,
2025-12-01,USD,MYR,0;21,,,
2025-12-02,USD,USD,1,,,
2025-12-02,USD,EUR,1;0901,,,
2025-12-02,USD,NOK,0;095,,,
2025-12-02,USD,SGD,0;7401,,,
2025-12-02,USD,AED,0;2701,,,
2025-12-02,USD,GBP,1;2618,,,
2025-12-02,USD,CNY,0;1392,,,
2025-12-02,USD,MYR,0;2099,,,
2025-12-03,USD,USD,1,,,
2025-12-03,USD,EUR,1;09,,,
2025-12-03,USD,NOK,0;095,,,
2025-12-03,USD,SGD,0;74,,,
2025-12-03,USD,AED,0;2703,,,
2025-12-03,USD,GBP,1;262,,,
2025-12-03,USD,CNY,0;1391,,,
2025-12-03,USD,MYR,0;21,,,
2025-12-04,USD,USD,1,,,
2025-12-04,USD,EUR,1;09,,,
2025-12-04,USD,NOK,0;0951,,,
2025-12-04,USD,SGD,0;7405,,,
2025-12-04,USD,AED,0;2702,,,
2025-12-04,USD,GBP,1;263,,,
2025-12-04,USD,CNY,0;1391,,,
2025-12-04,USD,MYR,0;2099,,,
2025-12-05,USD,USD,1,,,
2025-12-05,USD,EUR,1;0901,,,
2025-12-05,USD,NOK,0;095,,,
2025-12-05,USD,SGD,0;7401,,,
2025-12-05,USD,AED,0;2703,,,
2025-12-05,USD,GBP,1;2621,,,
2025-12-05,USD,CNY,0;1391,,,
2025-12-05,USD,MYR,0;21,,,
2025-12-06,USD,USD,1,,,
2025-12-06,USD,EUR,1;0903,,,
2025-12-06,USD,NOK,0;0951,,,
2025-12-06,USD,SGD,0;7402,,,
2025-12-06,USD,AED,0;2701,,,
2025-12-06,USD,GBP,1;262,,,
2025-12-06,USD,CNY,0;1392,,,
2025-12-06,USD,MYR,0;2099,,,
2025-12-07,USD,USD,1,,,
2025-12-07,USD,EUR,1;0906,,,
2025-12-07,USD,NOK,0;095,,,
2025-12-07,USD,SGD,0;741,,,
2025-12-07,USD,AED,0;2702,,,
2025-12-07,USD,GBP,1;2626,,,
2025-12-07,USD,CNY,0;1393,,,
2025-12-07,USD,MYR,0;2101,,,
2025-12-08,USD,USD,1,,,
2025-12-08,USD,EUR,1;0911,,,
2025-12-08,USD,NOK,0;095,,,
2025-12-08,USD,SGD,0;7407,,,
2025-12-08,USD,AED,0;2699,,,
2025-12-08,USD,GBP,1;2614,,,
2025-12-08,USD,CNY,0;1392,,,
2025-12-08,USD,MYR,0;21,,,
2025-12-09,USD,USD,1,,,
2025-12-09,USD,EUR,1;0916,,,
2025-12-09,USD,NOK,0;095,,,
2025-12-09,USD,SGD,0;7411,,,
2025-12-09,USD,AED,0;2699,,,
2025-12-09,USD,GBP,1;2609,,,
2025-12-09,USD,CNY,0;1391,,,
2025-12-09,USD,MYR,0;2102,,,
2025-12-10,USD,USD,1,,,
2025-12-10,USD,EUR,1;0923,,,
2025-12-10,USD,NOK,0;095,,,
2025-12-10,USD,SGD,0;7405,,,
2025-12-10,USD,AED,0;2701,,,
2025-12-10,USD,GBP,1;2611,,,
2025-12-10,USD,CNY,0;139,,,
2025-12-10,USD,MYR,0;2101,,,
2025-12-11,USD,USD,1,,,
2025-12-11,USD,EUR,1;093,,,
2025-12-11,USD,NOK,0;0949,,,
2025-12-11,USD,SGD,0;7405,,,
2025-12-11,USD,AED,0;27,,,
2025-12-11,USD,GBP,1;2621,,,
2025-12-11,USD,CNY,0;139,,,
2025-12-11,USD,MYR,0;2103,,,
2025-12-12,USD,USD,1,,,
2025-12-12,USD,EUR,1;0939,,,
2025-12-12,USD,NOK,0;0949,,,
2025-12-12,USD,SGD,0;7411,,,
2025-12-12,USD,AED,0;2701,,,
2025-12-12,USD,GBP,1;2613,,,
2025-12-12,USD,CNY,0;139,,,
2025-12-12,USD,MYR,0;2103,,,
2025-12-13,USD,USD,1,,,
2025-12-13,USD,EUR,1;0949,,,
2025-12-13,USD,NOK,0;0949,,,
2025-12-13,USD,SGD,0;7407,,,
2025-12-13,USD,AED,0;2699,,,
2025-12-13,USD,GBP,1;2611,,,
2025-12-13,USD,CNY,0;1391,,,
2025-12-13,USD,MYR,0;2105,,,
2025-12-14,USD,USD,1,,,
2025-12-14,USD,EUR,1;096,,,
2025-12-14,USD,NOK,0;0949,,,
2025-12-14,USD,SGD,0;741,,,
2025-12-14,USD,AED,0;27,,,
2025-12-14,USD,GBP,1;2618,,,
2025-12-14,USD,CNY,0;1392,,,
2025-12-14,USD,MYR,0;2105,,,
2025-12-15,USD,USD,1,,,
2025-12-15,USD,EUR,1;0949,,,
2025-12-15,USD,NOK,0;0948,,,
2025-12-15,USD,SGD,0;7402,,,
2025-12-15,USD,AED,0;2697,,,
2025-12-15,USD,GBP,1;2605,,,
2025-12-15,USD,CNY,0;1391,,,
2025-12-15,USD,MYR,0;2103,,,
2025-12-16,USD,USD,1,,,
2025-12-16,USD,EUR,1;0939,,,
2025-12-16,USD,NOK,0;0948,,,
2025-12-16,USD,SGD,0;7401,,,
2025-12-16,USD,AED,0;2697,,,
2025-12-16,USD,GBP,1;26,,,
2025-12-16,USD,CNY,0;139,,,
2025-12-16,USD,MYR,0;2103,,,
2025-12-17,USD,USD,1,,,
2025-12-17,USD,EUR,1;093,,,
2025-12-17,USD,NOK,0;0949,,,
2025-12-17,USD,SGD,0;7405,,,
2025-12-17,USD,AED,0;2699,,,
2025-12-17,USD,GBP,1;2602,,,
2025-12-17,USD,CNY,0;1389,,,
2025-12-17,USD,MYR,0;2101,,,
2025-12-18,USD,USD,1,,,
2025-12-18,USD,EUR,1;0923,,,
2025-12-18,USD,NOK,0;0949,,,
2025-12-18,USD,SGD,0;74,,,
2025-12-18,USD,AED,0;2698,,,
2025-12-18,USD,GBP,1;2612,,,
2025-12-18,USD,CNY,0;1389,,,
2025-12-18,USD,MYR,0;2102,,,
2025-12-19,USD,USD,1,,,
2025-12-19,USD,EUR,1;0916,,,
2025-12-19,USD,NOK,0;0949,,,
2025-12-19,USD,SGD,0;7401,,,
2025-12-19,USD,AED,0;2699,,,
2025-12-19,USD,GBP,1;2604,,,
2025-12-19,USD,CNY,0;1389,,,
2025-12-19,USD,MYR,0;21,,,
2025-12-20,USD,USD,1,,,
2025-12-20,USD,EUR,1;0911,,,
2025-12-20,USD,NOK,0;0949,,,
2025-12-20,USD,SGD,0;7407,,,
2025-12-20,USD,AED,0;2697,,,
2025-12-20,USD,GBP,1;2602,,,
2025-12-20,USD,CNY,0;139,,,
2025-12-20,USD,MYR,0;2101,,,
2025-12-21,USD,USD,1,,,
2025-12-21,USD,EUR,1;0906,,,
2025-12-21,USD,NOK,0;095,,,
2025-12-21,USD,SGD,0;7404,,,
2025-12-21,USD,AED,0;2698,,,
2025-12-21,USD,GBP,1;2609,,,
2025-12-21,USD,CNY,0;1391,,,
2025-12-21,USD,MYR,0;2099,,,
2025-12-22,USD,USD,1,,,
2025-12-22,USD,EUR,1;0903,,,
2025-12-22,USD,NOK,0;095,,,
2025-12-22,USD,SGD,0;7407,,,
2025-12-22,USD,AED,0;2695,,,
2025-12-22,USD,GBP,1;2596,,,
2025-12-22,USD,CNY,0;139,,,
2025-12-22,USD,MYR,0;21,,,
2025-12-23,USD,USD,1,,,
2025-12-23,USD,EUR,1;0901,,,
2025-12-23,USD,NOK,0;095,,,
2025-12-23,USD,SGD,0;7401,,,
2025-12-23,USD,AED,0;2695,,,
2025-12-23,USD,GBP,1;2591,,,
2025-12-23,USD,CNY,0;1389,,,
2025-12-23,USD,MYR,0;2099,,,
2025-12-24,USD,USD,1,,,
2025-12-24,USD,EUR,1;09,,,
2025-12-24,USD,NOK,0;095,,,
2025-12-24,USD,SGD,0;74,,,
2025-12-24,USD,AED,0;2697,,,
2025-12-24,USD,GBP,1;2594,,,
2025-12-24,USD,CNY,0;1388,,,
2025-12-24,USD,MYR,0;21,,,
2025-12-25,USD,USD,1,,,
2025-12-25,USD,EUR,1;09,,,
2025-12-25,USD,NOK,0;0951,,,
2025-12-25,USD,SGD,0;7405,,,
2025-12-25,USD,AED,0;2696,,,
2025-12-25,USD,GBP,1;2604,,,
2025-12-25,USD,CNY,0;1388,,,
2025-12-25,USD,MYR,0;2099,,,
2025-12-26,USD,USD,1,,,
2025-12-26,USD,EUR,1;0901,,,
2025-12-26,USD,NOK,0;095,,,
2025-12-26,USD,SGD,0;7401,,,
2025-12-26,USD,AED,0;2697,,,
2025-12-26,USD,GBP,1;2595,,,
2025-12-26,USD,CNY,0;1388,,,
2025-12-26,USD,MYR,0;21,,,
2025-12-27,USD,USD,1,,,
2025-12-27,USD,EUR,1;0903,,,
2025-12-27,USD,NOK,0;0951,,,
2025-12-27,USD,SGD,0;7402,,,
2025-12-27,USD,AED,0;2696,,,
2025-12-27,USD,GBP,1;2594,,,
2025-12-27,USD,CNY,0;1389,,,
2025-12-27,USD,MYR,0;2099,,,
2025-12-28,USD,USD,1,,,
2025-12-28,USD,EUR,1;0906,,,
2025-12-28,USD,NOK,0;095,,,
2025-12-28,USD,SGD,0;741,,,
2025-12-28,USD,AED,0;2696,,,
2025-12-28,USD,GBP,1;26,,,
2025-12-28,USD,CNY,0;139,,,
2025-12-28,USD,MYR,0;2101,,,
2025-12-29,USD,USD,1,,,
2025-12-29,USD,EUR,1;0911,,,
2025-12-29,USD,NOK,0;095,,,
2025-12-29,USD,SGD,0;7407,,,
2025-12-29,USD,AED,0;2693,,,
2025-12-29,USD,GBP,1;2587,,,
2025-12-29,USD,CNY,0;1389,,,
2025-12-29,USD,MYR,0;21,,,
2025-12-30,USD,USD,1,,,
2025-12-30,USD,EUR,1;0916,,,
2025-12-30,USD,NOK,0;095,,,
2025-12-30,USD,SGD,0;7411,,,
2025-12-30,USD,AED,0;2693,,,
2025-12-30,USD,GBP,1;2582,,,
2025-12-30,USD,CNY,0;1388,,,
2025-12-30,USD,MYR,0;2102,,,
2025-12-31,USD,USD,1,,,
2025-12-31,USD,EUR,1;0923,,,
2025-12-31,USD,NOK,0;095,,,
2025-12-31,USD,SGD,0;7405,,,
2025-12-31,USD,AED,0;2695,,,
2025-12-31,USD,GBP,1;2585,,,
2025-12-31,USD,CNY,0;1387,,,
2025-12-31,USD,MYR,0;2101,,,
