rate_date,base_currency,quote_currency,fx_to_usd
1/10/2025,USD,USD,1
1/10/2025,USD,EUR,1.09
1/10/2025,USD,NOK,0.095
1/10/2025,USD,SGD,0.74
1/10/2025,USD,AED,0.272
1/10/2025,USD,GBP,1.27
1/10/2025,USD,CNY,0.14
1/10/2025,USD,MYR,0.21
2/10/2025,USD,USD,1
2/10/2025,USD,EUR,1.09
2/10/2025,USD,NOK,0.0951
2/10/2025,USD,SGD,0.7405
2/10/2025,USD,AED,0.2719
2/10/2025,USD,GBP,1.271
2/10/2025,USD,CNY,0.14
2/10/2025,USD,MYR,0.2099
3/10/2025,USD,USD,1
3/10/2025,USD,EUR,1.0901
3/10/2025,USD,NOK,0.095
3/10/2025,USD,SGD,0.7401
3/10/2025,USD,AED,0.272
3/10/2025,USD,GBP,1.2701
3/10/2025,USD,CNY,0.14
3/10/2025,USD,MYR,0.21
4/10/2025,USD,USD,1
4/10/2025,USD,EUR,1.0903
4/10/2025,USD,NOK,0.0951
4/10/2025,USD,SGD,0.7402
4/10/2025,USD,AED,0.2718
4/10/2025,USD,GBP,1.27
4/10/2025,USD,CNY,0.1401
4/10/2025,USD,MYR,0.2099
5/10/2025,USD,USD,1
5/10/2025,USD,EUR,1.0907
5/10/2025,USD,NOK,0.095
5/10/2025,USD,SGD,0.741
5/10/2025,USD,AED,0.2719
5/10/2025,USD,GBP,1.2706
5/10/2025,USD,CNY,0.1402
5/10/2025,USD,MYR,0.2101
6/10/2025,USD,USD,1
6/10/2025,USD,EUR,1.0911
6/10/2025,USD,NOK,0.095
6/10/2025,USD,SGD,0.7407
6/10/2025,USD,AED,0.2716
6/10/2025,USD,GBP,1.2694
6/10/2025,USD,CNY,0.1401
6/10/2025,USD,MYR,0.21
7/10/2025,USD,USD,1
7/10/2025,USD,EUR,1.0916
7/10/2025,USD,NOK,0.095
7/10/2025,USD,SGD,0.7411
7/10/2025,USD,AED,0.2716
7/10/2025,USD,GBP,1.2689
7/10/2025,USD,CNY,0.14
7/10/2025,USD,MYR,0.2102
8/10/2025,USD,USD,1
8/10/2025,USD,EUR,1.0923
8/10/2025,USD,NOK,0.095
8/10/2025,USD,SGD,0.7405
8/10/2025,USD,AED,0.2718
8/10/2025,USD,GBP,1.2691
8/10/2025,USD,CNY,0.1399
8/10/2025,USD,MYR,0.2101
9/10/2025,USD,USD,1
9/10/2025,USD,EUR,1.0931
9/10/2025,USD,NOK,0.0949
9/10/2025,USD,SGD,0.7405
9/10/2025,USD,AED,0.2717
9/10/2025,USD,GBP,1.2701
9/10/2025,USD,CNY,0.1399
9/10/2025,USD,MYR,0.2103
10/10/2025,USD,USD,1
10/10/2025,USD,EUR,1.0939
10/10/2025,USD,NOK,0.0949
10/10/2025,USD,SGD,0.7411
10/10/2025,USD,AED,0.2718
10/10/2025,USD,GBP,1.2692
10/10/2025,USD,CNY,0.1399
10/10/2025,USD,MYR,0.2103
11/10/2025,USD,USD,1
11/10/2025,USD,EUR,1.0949
11/10/2025,USD,NOK,0.0949
11/10/2025,USD,SGD,0.7407
11/10/2025,USD,AED,0.2716
11/10/2025,USD,GBP,1.2691
11/10/2025,USD,CNY,0.14
11/10/2025,USD,MYR,0.2105
12/10/2025,USD,USD,1
12/10/2025,USD,EUR,1.096
12/10/2025,USD,NOK,0.0949
12/10/2025,USD,SGD,0.741
12/10/2025,USD,AED,0.2717
12/10/2025,USD,GBP,1.2697
12/10/2025,USD,CNY,0.1401
12/10/2025,USD,MYR,0.2105
13/10/2025,USD,USD,1
13/10/2025,USD,EUR,1.0949
13/10/2025,USD,NOK,0.0948
13/10/2025,USD,SGD,0.7402
13/10/2025,USD,AED,0.2714
13/10/2025,USD,GBP,1.2685
13/10/2025,USD,CNY,0.14
13/10/2025,USD,MYR,0.2103
14/10/2025,USD,USD,1
14/10/2025,USD,EUR,1.0939
14/10/2025,USD,NOK,0.0948
14/10/2025,USD,SGD,0.7401
14/10/2025,USD,AED,0.2714
14/10/2025,USD,GBP,1.268
14/10/2025,USD,CNY,0.1399
14/10/2025,USD,MYR,0.2103
15/10/2025,USD,USD,1
15/10/2025,USD,EUR,1.0931
15/10/2025,USD,NOK,0.0949
15/10/2025,USD,SGD,0.7405
15/10/2025,USD,AED,0.2716
15/10/2025,USD,GBP,1.2682
15/10/2025,USD,CNY,0.1398
15/10/2025,USD,MYR,0.2101
16/10/2025,USD,USD,1
16/10/2025,USD,EUR,1.0923
16/10/2025,USD,NOK,0.0949
16/10/2025,USD,SGD,0.74
16/10/2025,USD,AED,0.2715
16/10/2025,USD,GBP,1.2692
16/10/2025,USD,CNY,0.1398
16/10/2025,USD,MYR,0.2102
17/10/2025,USD,USD,1
17/10/2025,USD,EUR,1.0916
17/10/2025,USD,NOK,0.0949
17/10/2025,USD,SGD,0.7401
17/10/2025,USD,AED,0.2716
17/10/2025,USD,GBP,1.2683
17/10/2025,USD,CNY,0.1398
17/10/2025,USD,MYR,0.21
18/10/2025,USD,USD,1
18/10/2025,USD,EUR,1.0911
18/10/2025,USD,NOK,0.0949
18/10/2025,USD,SGD,0.7407
18/10/2025,USD,AED,0.2715
18/10/2025,USD,GBP,1.2682
18/10/2025,USD,CNY,0.1399
18/10/2025,USD,MYR,0.2101
19/10/2025,USD,USD,1
19/10/2025,USD,EUR,1.0907
19/10/2025,USD,NOK,0.095
19/10/2025,USD,SGD,0.7404
19/10/2025,USD,AED,0.2715
19/10/2025,USD,GBP,1.2689
19/10/2025,USD,CNY,0.14
19/10/2025,USD,MYR,0.2099
20/10/2025,USD,USD,1
20/10/2025,USD,EUR,1.0903
20/10/2025,USD,NOK,0.095
20/10/2025,USD,SGD,0.7407
20/10/2025,USD,AED,0.2712
20/10/2025,USD,GBP,1.2676
20/10/2025,USD,CNY,0.1399
20/10/2025,USD,MYR,0.21
21/10/2025,USD,USD,1
21/10/2025,USD,EUR,1.0901
21/10/2025,USD,NOK,0.095
21/10/2025,USD,SGD,0.7401
21/10/2025,USD,AED,0.2712
21/10/2025,USD,GBP,1.2671
21/10/2025,USD,CNY,0.1398
21/10/2025,USD,MYR,0.2099
22/10/2025,USD,USD,1
22/10/2025,USD,EUR,1.09
22/10/2025,USD,NOK,0.095
22/10/2025,USD,SGD,0.74
22/10/2025,USD,AED,0.2714
22/10/2025,USD,GBP,1.2673
22/10/2025,USD,CNY,0.1397
22/10/2025,USD,MYR,0.21
23/10/2025,USD,USD,1
23/10/2025,USD,EUR,1.09
23/10/2025,USD,NOK,0.0951
23/10/2025,USD,SGD,0.7405
23/10/2025,USD,AED,0.2713
23/10/2025,USD,GBP,1.2683
23/10/2025,USD,CNY,0.1397
23/10/2025,USD,MYR,0.2099
24/10/2025,USD,USD,1
24/10/2025,USD,EUR,1.0901
24/10/2025,USD,NOK,0.095
24/10/2025,USD,SGD,0.7401
24/10/2025,USD,AED,0.2715
24/10/2025,USD,GBP,1.2675
24/10/2025,USD,CNY,0.1397
24/10/2025,USD,MYR,0.21
25/10/2025,USD,USD,1
25/10/2025,USD,EUR,1.0903
25/10/2025,USD,NOK,0.0951
25/10/2025,USD,SGD,0.7402
25/10/2025,USD,AED,0.2713
25/10/2025,USD,GBP,1.2673
25/10/2025,USD,CNY,0.1398
25/10/2025,USD,MYR,0.2099
26/10/2025,USD,USD,1
26/10/2025,USD,EUR,1.0906
26/10/2025,USD,NOK,0.095
26/10/2025,USD,SGD,0.741
26/10/2025,USD,AED,0.2713
26/10/2025,USD,GBP,1.268
26/10/2025,USD,CNY,0.1399
26/10/2025,USD,MYR,0.2101
27/10/2025,USD,USD,1
27/10/2025,USD,EUR,1.0911
27/10/2025,USD,NOK,0.095
27/10/2025,USD,SGD,0.7407
27/10/2025,USD,AED,0.271
27/10/2025,USD,GBP,1.2667
27/10/2025,USD,CNY,0.1398
27/10/2025,USD,MYR,0.21
28/10/2025,USD,USD,1
28/10/2025,USD,EUR,1.0916
28/10/2025,USD,NOK,0.095
28/10/2025,USD,SGD,0.7411
28/10/2025,USD,AED,0.271
28/10/2025,USD,GBP,1.2662
28/10/2025,USD,CNY,0.1397
28/10/2025,USD,MYR,0.2102
29/10/2025,USD,USD,1
29/10/2025,USD,EUR,1.0923
29/10/2025,USD,NOK,0.095
29/10/2025,USD,SGD,0.7405
29/10/2025,USD,AED,0.2712
29/10/2025,USD,GBP,1.2664
29/10/2025,USD,CNY,0.1396
29/10/2025,USD,MYR,0.2101
30/10/2025,USD,USD,1
30/10/2025,USD,EUR,1.0931
30/10/2025,USD,NOK,0.0949
30/10/2025,USD,SGD,0.7405
30/10/2025,USD,AED,0.2711
30/10/2025,USD,GBP,1.2675
30/10/2025,USD,CNY,0.1396
30/10/2025,USD,MYR,0.2103
31/10/2025,USD,USD,1
31/10/2025,USD,EUR,1.0939
31/10/2025,USD,NOK,0.0949
31/10/2025,USD,SGD,0.7411
31/10/2025,USD,AED,0.2713
31/10/2025,USD,GBP,1.2666
31/10/2025,USD,CNY,0.1396
31/10/2025,USD,MYR,0.2103
1/11/2025,USD,USD,1
1/11/2025,USD,EUR,1.0949
1/11/2025,USD,NOK,0.0949
1/11/2025,USD,SGD,0.7407
1/11/2025,USD,AED,0.2711
1/11/2025,USD,GBP,1.2664
1/11/2025,USD,CNY,0.1397
1/11/2025,USD,MYR,0.2105
2/11/2025,USD,USD,1
2/11/2025,USD,EUR,1.096
2/11/2025,USD,NOK,0.0949
2/11/2025,USD,SGD,0.741
2/11/2025,USD,AED,0.2711
2/11/2025,USD,GBP,1.2671
2/11/2025,USD,CNY,0.1398
2/11/2025,USD,MYR,0.2105
3/11/2025,USD,USD,1
3/11/2025,USD,EUR,1.0949
3/11/2025,USD,NOK,0.0948
3/11/2025,USD,SGD,0.7402
3/11/2025,USD,AED,0.2709
3/11/2025,USD,GBP,1.2658
3/11/2025,USD,CNY,0.1397
3/11/2025,USD,MYR,0.2103
4/11/2025,USD,USD,1
4/11/2025,USD,EUR,1.0939
4/11/2025,USD,NOK,0.0948
4/11/2025,USD,SGD,0.7401
4/11/2025,USD,AED,0.2708
4/11/2025,USD,GBP,1.2653
4/11/2025,USD,CNY,0.1396
4/11/2025,USD,MYR,0.2103
5/11/2025,USD,USD,1
5/11/2025,USD,EUR,1.093
5/11/2025,USD,NOK,0.0949
5/11/2025,USD,SGD,0.7405
5/11/2025,USD,AED,0.271
5/11/2025,USD,GBP,1.2656
5/11/2025,USD,CNY,0.1395
5/11/2025,USD,MYR,0.2101
6/11/2025,USD,USD,1
6/11/2025,USD,EUR,1.0923
6/11/2025,USD,NOK,0.0949
6/11/2025,USD,SGD,0.74
6/11/2025,USD,AED,0.2709
6/11/2025,USD,GBP,1.2666
6/11/2025,USD,CNY,0.1395
6/11/2025,USD,MYR,0.2102
7/11/2025,USD,USD,1
7/11/2025,USD,EUR,1.0916
7/11/2025,USD,NOK,0.0949
7/11/2025,USD,SGD,0.7401
7/11/2025,USD,AED,0.2711
7/11/2025,USD,GBP,1.2657
7/11/2025,USD,CNY,0.1395
7/11/2025,USD,MYR,0.21
8/11/2025,USD,USD,1
8/11/2025,USD,EUR,1.0911
8/11/2025,USD,NOK,0.0949
8/11/2025,USD,SGD,0.7407
8/11/2025,USD,AED,0.2709
8/11/2025,USD,GBP,1.2656
8/11/2025,USD,CNY,0.1396
8/11/2025,USD,MYR,0.2101
9/11/2025,USD,USD,1
9/11/2025,USD,EUR,1.0906
9/11/2025,USD,NOK,0.095
9/11/2025,USD,SGD,0.7404
9/11/2025,USD,AED,0.2709
9/11/2025,USD,GBP,1.2662
9/11/2025,USD,CNY,0.1397
9/11/2025,USD,MYR,0.2099
10/11/2025,USD,USD,1
10/11/2025,USD,EUR,1.0903
10/11/2025,USD,NOK,0.095
10/11/2025,USD,SGD,0.7407
10/11/2025,USD,AED,0.2707
10/11/2025,USD,GBP,1.2649
10/11/2025,USD,CNY,0.1396
10/11/2025,USD,MYR,0.21
11/11/2025,USD,USD,1
11/11/2025,USD,EUR,1.0901
11/11/2025,USD,NOK,0.095
11/11/2025,USD,SGD,0.7401
11/11/2025,USD,AED,0.2706
11/11/2025,USD,GBP,1.2644
11/11/2025,USD,CNY,0.1395
11/11/2025,USD,MYR,0.2099
12/11/2025,USD,USD,1
12/11/2025,USD,EUR,1.09
12/11/2025,USD,NOK,0.095
12/11/2025,USD,SGD,0.74
12/11/2025,USD,AED,0.2709
12/11/2025,USD,GBP,1.2647
12/11/2025,USD,CNY,0.1394
12/11/2025,USD,MYR,0.21
13/11/2025,USD,USD,1
13/11/2025,USD,EUR,1.09
13/11/2025,USD,NOK,0.0951
13/11/2025,USD,SGD,0.7405
13/11/2025,USD,AED,0.2707
13/11/2025,USD,GBP,1.2657
13/11/2025,USD,CNY,0.1394
13/11/2025,USD,MYR,0.2099
14/11/2025,USD,USD,1
14/11/2025,USD,EUR,1.0901
14/11/2025,USD,NOK,0.095
14/11/2025,USD,SGD,0.7401
14/11/2025,USD,AED,0.2709
14/11/2025,USD,GBP,1.2648
14/11/2025,USD,CNY,0.1394
14/11/2025,USD,MYR,0.21
15/11/2025,USD,USD,1
15/11/2025,USD,EUR,1.0903
15/11/2025,USD,NOK,0.0951
15/11/2025,USD,SGD,0.7402
15/11/2025,USD,AED,0.2707
15/11/2025,USD,GBP,1.2647
15/11/2025,USD,CNY,0.1395
15/11/2025,USD,MYR,0.2099
16/11/2025,USD,USD,1
16/11/2025,USD,EUR,1.0906
16/11/2025,USD,NOK,0.095
16/11/2025,USD,SGD,0.741
16/11/2025,USD,AED,0.2707
16/11/2025,USD,GBP,1.2653
16/11/2025,USD,CNY,0.1396
16/11/2025,USD,MYR,0.2101
17/11/2025,USD,USD,1
17/11/2025,USD,EUR,1.0911
17/11/2025,USD,NOK,0.095
17/11/2025,USD,SGD,0.7407
17/11/2025,USD,AED,0.2705
17/11/2025,USD,GBP,1.264
17/11/2025,USD,CNY,0.1395
17/11/2025,USD,MYR,0.21
18/11/2025,USD,USD,1
18/11/2025,USD,EUR,1.0916
18/11/2025,USD,NOK,0.095
18/11/2025,USD,SGD,0.7411
18/11/2025,USD,AED,0.2705
18/11/2025,USD,GBP,1.2635
18/11/2025,USD,CNY,0.1394
18/11/2025,USD,MYR,0.2102
19/11/2025,USD,USD,1
19/11/2025,USD,EUR,1.0923
19/11/2025,USD,NOK,0.095
19/11/2025,USD,SGD,0.7405
19/11/2025,USD,AED,0.2707
19/11/2025,USD,GBP,1.2638
19/11/2025,USD,CNY,0.1393
19/11/2025,USD,MYR,0.2101
20/11/2025,USD,USD,1
20/11/2025,USD,EUR,1.093
20/11/2025,USD,NOK,0.0949
20/11/2025,USD,SGD,0.7405
20/11/2025,USD,AED,0.2706
20/11/2025,USD,GBP,1.2648
20/11/2025,USD,CNY,0.1393
20/11/2025,USD,MYR,0.2103
21/11/2025,USD,USD,1
21/11/2025,USD,EUR,1.0939
21/11/2025,USD,NOK,0.0949
21/11/2025,USD,SGD,0.7411
21/11/2025,USD,AED,0.2707
21/11/2025,USD,GBP,1.2639
21/11/2025,USD,CNY,0.1393
21/11/2025,USD,MYR,0.2103
22/11/2025,USD,USD,1
22/11/2025,USD,EUR,1.0949
22/11/2025,USD,NOK,0.0949
22/11/2025,USD,SGD,0.7407
22/11/2025,USD,AED,0.2705
22/11/2025,USD,GBP,1.2638
22/11/2025,USD,CNY,0.1394
22/11/2025,USD,MYR,0.2105
23/11/2025,USD,USD,1
23/11/2025,USD,EUR,1.096
23/11/2025,USD,NOK,0.0949
23/11/2025,USD,SGD,0.741
23/11/2025,USD,AED,0.2706
23/11/2025,USD,GBP,1.2644
23/11/2025,USD,CNY,0.1395
23/11/2025,USD,MYR,0.2105
24/11/2025,USD,USD,1
24/11/2025,USD,EUR,1.0949
24/11/2025,USD,NOK,0.0948
24/11/2025,USD,SGD,0.7402
24/11/2025,USD,AED,0.2703
24/11/2025,USD,GBP,1.2631
24/11/2025,USD,CNY,0.1394
24/11/2025,USD,MYR,0.2103
25/11/2025,USD,USD,1
25/11/2025,USD,EUR,1.0939
25/11/2025,USD,NOK,0.0948
25/11/2025,USD,SGD,0.7401
25/11/2025,USD,AED,0.2703
25/11/2025,USD,GBP,1.2626
25/11/2025,USD,CNY,0.1393
25/11/2025,USD,MYR,0.2103
26/11/2025,USD,USD,1
26/11/2025,USD,EUR,1.093
26/11/2025,USD,NOK,0.0949
26/11/2025,USD,SGD,0.7405
26/11/2025,USD,AED,0.2705
26/11/2025,USD,GBP,1.2629
26/11/2025,USD,CNY,0.1392
26/11/2025,USD,MYR,0.2101
27/11/2025,USD,USD,1
27/11/2025,USD,EUR,1.0923
27/11/2025,USD,NOK,0.0949
27/11/2025,USD,SGD,0.74
27/11/2025,USD,AED,0.2704
27/11/2025,USD,GBP,1.2639
27/11/2025,USD,CNY,0.1392
27/11/2025,USD,MYR,0.2102
28/11/2025,USD,USD,1
28/11/2025,USD,EUR,1.0916
28/11/2025,USD,NOK,0.0949
28/11/2025,USD,SGD,0.7401
28/11/2025,USD,AED,0.2705
28/11/2025,USD,GBP,1.263
28/11/2025,USD,CNY,0.1392
28/11/2025,USD,MYR,0.21
29/11/2025,USD,USD,1
29/11/2025,USD,EUR,1.0911
29/11/2025,USD,NOK,0.0949
29/11/2025,USD,SGD,0.7407
29/11/2025,USD,AED,0.2703
29/11/2025,USD,GBP,1.2629
29/11/2025,USD,CNY,0.1393
29/11/2025,USD,MYR,0.2101
30/11/2025,USD,USD,1
30/11/2025,USD,EUR,1.0906
30/11/2025,USD,NOK,0.095
30/11/2025,USD,SGD,0.7404
30/11/2025,USD,AED,0.2704
30/11/2025,USD,GBP,1.2635
30/11/2025,USD,CNY,0.1394
30/11/2025,USD,MYR,0.2099
1/12/2025,USD,USD,1
1/12/2025,USD,EUR,1.0903
1/12/2025,USD,NOK,0.095
1/12/2025,USD,SGD,0.7407
1/12/2025,USD,AED,0.2701
1/12/2025,USD,GBP,1.2623
1/12/2025,USD,CNY,0.1393
1/12/2025,USD,MYR,0.21
2/12/2025,USD,USD,1
2/12/2025,USD,EUR,1.0901
2/12/2025,USD,NOK,0.095
2/12/2025,USD,SGD,0.7401
2/12/2025,USD,AED,0.2701
2/12/2025,USD,GBP,1.2618
2/12/2025,USD,CNY,0.1392
2/12/2025,USD,MYR,0.2099
3/12/2025,USD,USD,1
3/12/2025,USD,EUR,1.09
3/12/2025,USD,NOK,0.095
3/12/2025,USD,SGD,0.74
3/12/2025,USD,AED,0.2703
3/12/2025,USD,GBP,1.262
3/12/2025,USD,CNY,0.1391
3/12/2025,USD,MYR,0.21
4/12/2025,USD,USD,1
4/12/2025,USD,EUR,1.09
4/12/2025,USD,NOK,0.0951
4/12/2025,USD,SGD,0.7405
4/12/2025,USD,AED,0.2702
4/12/2025,USD,GBP,1.263
4/12/2025,USD,CNY,0.1391
4/12/2025,USD,MYR,0.2099
5/12/2025,USD,USD,1
5/12/2025,USD,EUR,1.0901
5/12/2025,USD,NOK,0.095
5/12/2025,USD,SGD,0.7401
5/12/2025,USD,AED,0.2703
5/12/2025,USD,GBP,1.2621
5/12/2025,USD,CNY,0.1391
5/12/2025,USD,MYR,0.21
6/12/2025,USD,USD,1
6/12/2025,USD,EUR,1.0903
6/12/2025,USD,NOK,0.0951
6/12/2025,USD,SGD,0.7402
6/12/2025,USD,AED,0.2701
6/12/2025,USD,GBP,1.262
6/12/2025,USD,CNY,0.1392
6/12/2025,USD,MYR,0.2099
7/12/2025,USD,USD,1
7/12/2025,USD,EUR,1.0906
7/12/2025,USD,NOK,0.095
7/12/2025,USD,SGD,0.741
7/12/2025,USD,AED,0.2702
7/12/2025,USD,GBP,1.2626
7/12/2025,USD,CNY,0.1393
7/12/2025,USD,MYR,0.2101
8/12/2025,USD,USD,1
8/12/2025,USD,EUR,1.0911
8/12/2025,USD,NOK,0.095
8/12/2025,USD,SGD,0.7407
8/12/2025,USD,AED,0.2699
8/12/2025,USD,GBP,1.2614
8/12/2025,USD,CNY,0.1392
8/12/2025,USD,MYR,0.21
9/12/2025,USD,USD,1
9/12/2025,USD,EUR,1.0916
9/12/2025,USD,NOK,0.095
9/12/2025,USD,SGD,0.7411
9/12/2025,USD,AED,0.2699
9/12/2025,USD,GBP,1.2609
9/12/2025,USD,CNY,0.1391
9/12/2025,USD,MYR,0.2102
10/12/2025,USD,USD,1
10/12/2025,USD,EUR,1.0923
10/12/2025,USD,NOK,0.095
10/12/2025,USD,SGD,0.7405
10/12/2025,USD,AED,0.2701
10/12/2025,USD,GBP,1.2611
10/12/2025,USD,CNY,0.139
10/12/2025,USD,MYR,0.2101
11/12/2025,USD,USD,1
11/12/2025,USD,EUR,1.093
11/12/2025,USD,NOK,0.0949
11/12/2025,USD,SGD,0.7405
11/12/2025,USD,AED,0.27
11/12/2025,USD,GBP,1.2621
11/12/2025,USD,CNY,0.139
11/12/2025,USD,MYR,0.2103
12/12/2025,USD,USD,1
12/12/2025,USD,EUR,1.0939
12/12/2025,USD,NOK,0.0949
12/12/2025,USD,SGD,0.7411
12/12/2025,USD,AED,0.2701
12/12/2025,USD,GBP,1.2613
12/12/2025,USD,CNY,0.139
12/12/2025,USD,MYR,0.2103
13/12/2025,USD,USD,1
13/12/2025,USD,EUR,1.0949
13/12/2025,USD,NOK,0.0949
13/12/2025,USD,SGD,0.7407
13/12/2025,USD,AED,0.2699
13/12/2025,USD,GBP,1.2611
13/12/2025,USD,CNY,0.1391
13/12/2025,USD,MYR,0.2105
14/12/2025,USD,USD,1
14/12/2025,USD,EUR,1.096
14/12/2025,USD,NOK,0.0949
14/12/2025,USD,SGD,0.741
14/12/2025,USD,AED,0.27
14/12/2025,USD,GBP,1.2618
14/12/2025,USD,CNY,0.1392
14/12/2025,USD,MYR,0.2105
15/12/2025,USD,USD,1
15/12/2025,USD,EUR,1.0949
15/12/2025,USD,NOK,0.0948
15/12/2025,USD,SGD,0.7402
15/12/2025,USD,AED,0.2697
15/12/2025,USD,GBP,1.2605
15/12/2025,USD,CNY,0.1391
15/12/2025,USD,MYR,0.2103
16/12/2025,USD,USD,1
16/12/2025,USD,EUR,1.0939
16/12/2025,USD,NOK,0.0948
16/12/2025,USD,SGD,0.7401
16/12/2025,USD,AED,0.2697
16/12/2025,USD,GBP,1.26
16/12/2025,USD,CNY,0.139
16/12/2025,USD,MYR,0.2103
17/12/2025,USD,USD,1
17/12/2025,USD,EUR,1.093
17/12/2025,USD,NOK,0.0949
17/12/2025,USD,SGD,0.7405
17/12/2025,USD,AED,0.2699
17/12/2025,USD,GBP,1.2602
17/12/2025,USD,CNY,0.1389
17/12/2025,USD,MYR,0.2101
18/12/2025,USD,USD,1
18/12/2025,USD,EUR,1.0923
18/12/2025,USD,NOK,0.0949
18/12/2025,USD,SGD,0.74
18/12/2025,USD,AED,0.2698
18/12/2025,USD,GBP,1.2612
18/12/2025,USD,CNY,0.1389
18/12/2025,USD,MYR,0.2102
19/12/2025,USD,USD,1
19/12/2025,USD,EUR,1.0916
19/12/2025,USD,NOK,0.0949
19/12/2025,USD,SGD,0.7401
19/12/2025,USD,AED,0.2699
19/12/2025,USD,GBP,1.2604
19/12/2025,USD,CNY,0.1389
19/12/2025,USD,MYR,0.21
20/12/2025,USD,USD,1
20/12/2025,USD,EUR,1.0911
20/12/2025,USD,NOK,0.0949
20/12/2025,USD,SGD,0.7407
20/12/2025,USD,AED,0.2697
20/12/2025,USD,GBP,1.2602
20/12/2025,USD,CNY,0.139
20/12/2025,USD,MYR,0.2101
21/12/2025,USD,USD,1
21/12/2025,USD,EUR,1.0906
21/12/2025,USD,NOK,0.095
21/12/2025,USD,SGD,0.7404
21/12/2025,USD,AED,0.2698
21/12/2025,USD,GBP,1.2609
21/12/2025,USD,CNY,0.1391
21/12/2025,USD,MYR,0.2099
22/12/2025,USD,USD,1
22/12/2025,USD,EUR,1.0903
22/12/2025,USD,NOK,0.095
22/12/2025,USD,SGD,0.7407
22/12/2025,USD,AED,0.2695
22/12/2025,USD,GBP,1.2596
22/12/2025,USD,CNY,0.139
22/12/2025,USD,MYR,0.21
23/12/2025,USD,USD,1
23/12/2025,USD,EUR,1.0901
23/12/2025,USD,NOK,0.095
23/12/2025,USD,SGD,0.7401
23/12/2025,USD,AED,0.2695
23/12/2025,USD,GBP,1.2591
23/12/2025,USD,CNY,0.1389
23/12/2025,USD,MYR,0.2099
24/12/2025,USD,USD,1
24/12/2025,USD,EUR,1.09
24/12/2025,USD,NOK,0.095
24/12/2025,USD,SGD,0.74
24/12/2025,USD,AED,0.2697
24/12/2025,USD,GBP,1.2594
24/12/2025,USD,CNY,0.1388
24/12/2025,USD,MYR,0.21
25/12/2025,USD,USD,1
25/12/2025,USD,EUR,1.09
25/12/2025,USD,NOK,0.0951
25/12/2025,USD,SGD,0.7405
25/12/2025,USD,AED,0.2696
25/12/2025,USD,GBP,1.2604
25/12/2025,USD,CNY,0.1388
25/12/2025,USD,MYR,0.2099
26/12/2025,USD,USD,1
26/12/2025,USD,EUR,1.0901
26/12/2025,USD,NOK,0.095
26/12/2025,USD,SGD,0.7401
26/12/2025,USD,AED,0.2697
26/12/2025,USD,GBP,1.2595
26/12/2025,USD,CNY,0.1388
26/12/2025,USD,MYR,0.21
27/12/2025,USD,USD,1
27/12/2025,USD,EUR,1.0903
27/12/2025,USD,NOK,0.0951
27/12/2025,USD,SGD,0.7402
27/12/2025,USD,AED,0.2696
27/12/2025,USD,GBP,1.2594
27/12/2025,USD,CNY,0.1389
27/12/2025,USD,MYR,0.2099
28/12/2025,USD,USD,1
28/12/2025,USD,EUR,1.0906
28/12/2025,USD,NOK,0.095
28/12/2025,USD,SGD,0.741
28/12/2025,USD,AED,0.2696
28/12/2025,USD,GBP,1.26
28/12/2025,USD,CNY,0.139
28/12/2025,USD,MYR,0.2101
29/12/2025,USD,USD,1
29/12/2025,USD,EUR,1.0911
29/12/2025,USD,NOK,0.095
29/12/2025,USD,SGD,0.7407
29/12/2025,USD,AED,0.2693
29/12/2025,USD,GBP,1.2587
29/12/2025,USD,CNY,0.1389
29/12/2025,USD,MYR,0.21
30/12/2025,USD,USD,1
30/12/2025,USD,EUR,1.0916
30/12/2025,USD,NOK,0.095
30/12/2025,USD,SGD,0.7411
30/12/2025,USD,AED,0.2693
30/12/2025,USD,GBP,1.2582
30/12/2025,USD,CNY,0.1388
30/12/2025,USD,MYR,0.2102
31/12/2025,USD,USD,1
31/12/2025,USD,EUR,1.0923
31/12/2025,USD,NOK,0.095
31/12/2025,USD,SGD,0.7405
31/12/2025,USD,AED,0.2695
31/12/2025,USD,GBP,1.2585
31/12/2025,USD,CNY,0.1387
31/12/2025,USD,MYR,0.2101
